combinational comparator module test:
                 256   A:0  B:1  G:0  E:0, L:1
                 258   A:0  B:0  G:0  E:0, L:1
                 260   A:0  B:0  G:0  E:0, L:1
                 262   A:1  B:0  G:0  E:0, L:1
                 264   A:1  B:0  G:0  E:0, L:1
                 266   A:0  B:0  G:0  E:0, L:1
                 268   A:1  B:1  G:0  E:0, L:1
                 270   A:1  B:0  G:0  E:0, L:1
                 272   A:0  B:0  G:0  E:0, L:1
                 274   A:0  B:1  G:0  E:0, L:1
reset module  -->  G:0  E:0, L:0
                 278   A:0  B:1  G:0  E:0, L:1
                 280   A:0  B:0  G:0  E:0, L:1
                 282   A:1  B:0  G:0  E:0, L:1
                 284   A:1  B:0  G:0  E:0, L:1
                 286   A:1  B:0  G:0  E:0, L:1
                 288   A:0  B:1  G:0  E:0, L:1
                 290   A:0  B:1  G:0  E:0, L:1
                 292   A:0  B:0  G:0  E:0, L:1
reset module  -->  G:0  E:0, L:0
                 296   A:0  B:0  G:0  E:1, L:0
                 298   A:1  B:1  G:0  E:1, L:0
                 300   A:1  B:1  G:0  E:1, L:0
                 302   A:0  B:1  G:0  E:0, L:1
                 304   A:1  B:1  G:0  E:0, L:1
                 306   A:0  B:1  G:0  E:0, L:1
                 308   A:0  B:0  G:0  E:0, L:1
                 310   A:0  B:1  G:0  E:0, L:1
reset module  -->  G:0  E:0, L:0
                 314   A:0  B:0  G:0  E:1, L:0
                 316   A:0  B:1  G:0  E:0, L:1
                 318   A:1  B:0  G:0  E:0, L:1
                 320   A:0  B:0  G:0  E:0, L:1
reset module  -->  G:0  E:0, L:0
                 324   A:1  B:0  G:1  E:0, L:0
                 326   A:1  B:0  G:1  E:0, L:0
reset module  -->  G:0  E:0, L:0
                 330   A:1  B:1  G:0  E:1, L:0
                 332   A:0  B:0  G:0  E:1, L:0
                 334   A:0  B:1  G:0  E:0, L:1
                 336   A:1  B:1  G:0  E:0, L:1
                 338   A:1  B:0  G:0  E:0, L:1
                 340   A:0  B:1  G:0  E:0, L:1
                 342   A:0  B:0  G:0  E:0, L:1
