VCD info: dumpfile waveform.vcd opened for output.
combinational comparator module test:
                 254   A:0  B:1  LGN:1  EQ:0
                 256   A:0  B:0  LGN:1  EQ:0
                 258   A:0  B:0  LGN:1  EQ:0
                 260   A:0  B:1  LGN:1  EQ:0
                 262   A:0  B:0  LGN:1  EQ:0
                 264   A:1  B:1  LGN:1  EQ:0
                 266   A:1  B:1  LGN:1  EQ:0
                 268   A:1  B:1  LGN:1  EQ:0
                 270   A:0  B:0  LGN:1  EQ:0
                 272   A:1  B:1  LGN:1  EQ:0
                 274   A:1  B:0  LGN:1  EQ:0
                 276   A:1  B:1  LGN:1  EQ:0
                 278   A:0  B:0  LGN:1  EQ:0
                 280   A:0  B:0  LGN:1  EQ:0
                 282   A:1  B:0  LGN:1  EQ:0
                 284   A:1  B:1  LGN:1  EQ:0
                 286   A:0  B:0  LGN:1  EQ:0
reset module  -->  LGN:0  EQ:1
                 290   A:1  B:0  LGN:0  EQ:0
                 292   A:0  B:0  LGN:0  EQ:0
reset module  -->  LGN:0  EQ:1
                 296   A:0  B:0  LGN:0  EQ:1
                 298   A:0  B:0  LGN:0  EQ:1
                 300   A:0  B:0  LGN:0  EQ:1
                 302   A:1  B:0  LGN:0  EQ:0
                 304   A:1  B:1  LGN:0  EQ:0
                 306   A:0  B:1  LGN:0  EQ:0
                 308   A:1  B:0  LGN:0  EQ:0
                 310   A:0  B:0  LGN:0  EQ:0
                 312   A:0  B:1  LGN:0  EQ:0
                 314   A:1  B:0  LGN:0  EQ:0
                 316   A:1  B:1  LGN:0  EQ:0
                 318   A:1  B:1  LGN:0  EQ:0
                 320   A:1  B:0  LGN:0  EQ:0
                 322   A:1  B:1  LGN:0  EQ:0
                 324   A:1  B:0  LGN:0  EQ:0
                 326   A:1  B:1  LGN:0  EQ:0
                 328   A:1  B:0  LGN:0  EQ:0
                 330   A:1  B:1  LGN:0  EQ:0
                 332   A:0  B:1  LGN:0  EQ:0
reset module  -->  LGN:0  EQ:1
                 336   A:0  B:0  LGN:0  EQ:1
                 338   A:1  B:1  LGN:0  EQ:1
                 340   A:0  B:1  LGN:1  EQ:0
                 342   A:0  B:0  LGN:1  EQ:0
                 344   A:1  B:1  LGN:1  EQ:0
                 346   A:0  B:0  LGN:1  EQ:0
                 348   A:0  B:0  LGN:1  EQ:0
                 350   A:0  B:1  LGN:1  EQ:0
                 352   A:1  B:1  LGN:1  EQ:0
                 354   A:1  B:0  LGN:1  EQ:0
                 356   A:0  B:0  LGN:1  EQ:0
reset module  -->  LGN:0  EQ:1
                 360   A:1  B:1  LGN:0  EQ:1
                 362   A:1  B:0  LGN:0  EQ:0
                 364   A:0  B:1  LGN:0  EQ:0
                 366   A:1  B:0  LGN:0  EQ:0
                 368   A:1  B:0  LGN:0  EQ:0
                 370   A:1  B:0  LGN:0  EQ:0
                 372   A:0  B:0  LGN:0  EQ:0
                 374   A:0  B:0  LGN:0  EQ:0
                 376   A:1  B:0  LGN:0  EQ:0
                 378   A:1  B:1  LGN:0  EQ:0
                 380   A:1  B:1  LGN:0  EQ:0
                 382   A:0  B:1  LGN:0  EQ:0
                 384   A:1  B:1  LGN:0  EQ:0
reset module  -->  LGN:0  EQ:1
                 388   A:1  B:0  LGN:0  EQ:0
                 390   A:1  B:0  LGN:0  EQ:0
                 392   A:0  B:1  LGN:0  EQ:0
                 394   A:1  B:1  LGN:0  EQ:0
                 396   A:0  B:1  LGN:0  EQ:0
                 398   A:1  B:1  LGN:0  EQ:0
                 400   A:0  B:0  LGN:0  EQ:0
                 402   A:0  B:0  LGN:0  EQ:0
                 404   A:1  B:0  LGN:0  EQ:0
