VCD info: dumpfile report/waveform.vcd opened for output.
                   0   x *  x =    x _______ A:xxxx, XB:0000xxxx, state = 0, next_state = x, count = 4 , B0,B-1 = x0, out_ready = 0
                 770  -3 *  1 =   12 _______ A:1101, XB:11110100, state = 4, next_state = 3, count = 2 , B0,B-1 = 00, out_ready = 0
                 774  -3 *  1 =   12 _______ A:1101, XB:11110100, state = 3, next_state = 4, count = 2 , B0,B-1 = 00, out_ready = 0
                 778  -3 *  1 =   12 _______ A:1101, XB:11111010, state = 4, next_state = 3, count = 1 , B0,B-1 = 00, out_ready = 0
                 782  -3 *  1 =   12 _______ A:1101, XB:11111010, state = 3, next_state = 4, count = 1 , B0,B-1 = 00, out_ready = 0
                 786  -3 *  1 =   -3 _______ A:1101, XB:11111101, state = 4, next_state = 2, count = 0 , B0,B-1 = 10, out_ready = 1
                 790  -3 *  1 =   -3 _______ A:1101, XB:00000001, state = 0, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 795   4 * -3 =   -3 _______ A:1101, XB:00000001, state = 0, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 798   4 * -3 =   -3 _______ A:0100, XB:00001101, state = 4, next_state = 2, count = 4 , B0,B-1 = 10, out_ready = 0
                 802   4 * -3 =   -3 _______ A:0100, XB:00001101, state = 2, next_state = 3, count = 4 , B0,B-1 = 10, out_ready = 0
                 806   4 * -3 =   -3 _______ A:0100, XB:11001101, state = 3, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 810   4 * -3 =   -3 _______ A:0100, XB:11100110, state = 4, next_state = 1, count = 3 , B0,B-1 = 01, out_ready = 0
                 814   4 * -3 =   -3 _______ A:0100, XB:11100110, state = 1, next_state = 3, count = 3 , B0,B-1 = 01, out_ready = 0
                 818   4 * -3 =   -3 _______ A:0100, XB:00100110, state = 3, next_state = 4, count = 3 , B0,B-1 = 01, out_ready = 0
                 822   4 * -3 =   -3 _______ A:0100, XB:00010011, state = 4, next_state = 2, count = 2 , B0,B-1 = 10, out_ready = 0
                 826   4 * -3 =   -3 _______ A:0100, XB:00010011, state = 2, next_state = 3, count = 2 , B0,B-1 = 10, out_ready = 0
                 830   4 * -3 =   -3 _______ A:0100, XB:11010011, state = 3, next_state = 4, count = 2 , B0,B-1 = 10, out_ready = 0
                 834   4 * -3 =   -3 _______ A:0100, XB:11101001, state = 4, next_state = 3, count = 1 , B0,B-1 = 11, out_ready = 0
                 838   4 * -3 =   -3 _______ A:0100, XB:11101001, state = 3, next_state = 4, count = 1 , B0,B-1 = 11, out_ready = 0
                 842   4 * -3 =  -12 _______ A:0100, XB:11110100, state = 4, next_state = 1, count = 0 , B0,B-1 = 01, out_ready = 1
                 845   4 * -3 =  -12 _______ A:0100, XB:00001101, state = 0, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 850  -7 *  7 =  -12 _______ A:1001, XB:00000111, state = 4, next_state = 2, count = 4 , B0,B-1 = 10, out_ready = 0
                 854  -7 *  7 =  -12 _______ A:1001, XB:00000111, state = 2, next_state = 3, count = 4 , B0,B-1 = 10, out_ready = 0
                 858  -7 *  7 =  -12 _______ A:1001, XB:01110111, state = 3, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 862  -7 *  7 =  -12 _______ A:1001, XB:00111011, state = 4, next_state = 3, count = 3 , B0,B-1 = 11, out_ready = 0
                 866  -7 *  7 =  -12 _______ A:1001, XB:00111011, state = 3, next_state = 4, count = 3 , B0,B-1 = 11, out_ready = 0
                 870  -7 *  7 =  -12 _______ A:1001, XB:00011101, state = 4, next_state = 3, count = 2 , B0,B-1 = 11, out_ready = 0
                 874  -7 *  7 =  -12 _______ A:1001, XB:00011101, state = 3, next_state = 4, count = 2 , B0,B-1 = 11, out_ready = 0
                 878  -7 *  7 =  -12 _______ A:1001, XB:00001110, state = 4, next_state = 1, count = 1 , B0,B-1 = 01, out_ready = 0
                 882  -7 *  7 =  -12 _______ A:1001, XB:00001110, state = 1, next_state = 3, count = 1 , B0,B-1 = 01, out_ready = 0
                 886  -7 *  7 =  -12 _______ A:1001, XB:10011110, state = 3, next_state = 4, count = 1 , B0,B-1 = 01, out_ready = 0
                 890  -7 *  7 =  -49 _______ A:1001, XB:11001111, state = 4, next_state = 2, count = 0 , B0,B-1 = 10, out_ready = 1
                 894  -7 *  7 =  -49 _______ A:1001, XB:11001111, state = 2, next_state = 3, count = 0 , B0,B-1 = 10, out_ready = 1
                 895  -7 *  7 =  -49 _______ A:1001, XB:00000111, state = 0, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 900  -8 *  3 =  -49 _______ A:1001, XB:00000111, state = 0, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 902  -8 *  3 =  -49 _______ A:1000, XB:00000011, state = 4, next_state = 2, count = 4 , B0,B-1 = 10, out_ready = 0
                 906  -8 *  3 =  -49 _______ A:1000, XB:00000011, state = 2, next_state = 3, count = 4 , B0,B-1 = 10, out_ready = 0
                 910  -8 *  3 =  -49 _______ A:1000, XB:10000011, state = 3, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 914  -8 *  3 =  -49 _______ A:1000, XB:11000001, state = 4, next_state = 3, count = 3 , B0,B-1 = 11, out_ready = 0
                 918  -8 *  3 =  -49 _______ A:1000, XB:11000001, state = 3, next_state = 4, count = 3 , B0,B-1 = 11, out_ready = 0
                 922  -8 *  3 =  -49 _______ A:1000, XB:11100000, state = 4, next_state = 1, count = 2 , B0,B-1 = 01, out_ready = 0
                 926  -8 *  3 =  -49 _______ A:1000, XB:11100000, state = 1, next_state = 3, count = 2 , B0,B-1 = 01, out_ready = 0
                 930  -8 *  3 =  -49 _______ A:1000, XB:01100000, state = 3, next_state = 4, count = 2 , B0,B-1 = 01, out_ready = 0
                 934  -8 *  3 =  -49 _______ A:1000, XB:00110000, state = 4, next_state = 3, count = 1 , B0,B-1 = 00, out_ready = 0
                 938  -8 *  3 =  -49 _______ A:1000, XB:00110000, state = 3, next_state = 4, count = 1 , B0,B-1 = 00, out_ready = 0
                 942  -8 *  3 =   24 _______ A:1000, XB:00011000, state = 4, next_state = 3, count = 0 , B0,B-1 = 00, out_ready = 1
                 945  -8 *  3 =   24 _______ A:1000, XB:00000011, state = 0, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 950   4 *  3 =   24 _______ A:0100, XB:00000011, state = 4, next_state = 2, count = 4 , B0,B-1 = 10, out_ready = 0
                 954   4 *  3 =   24 _______ A:0100, XB:00000011, state = 2, next_state = 3, count = 4 , B0,B-1 = 10, out_ready = 0
                 958   4 *  3 =   24 _______ A:0100, XB:11000011, state = 3, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 962   4 *  3 =   24 _______ A:0100, XB:11100001, state = 4, next_state = 3, count = 3 , B0,B-1 = 11, out_ready = 0
                 966   4 *  3 =   24 _______ A:0100, XB:11100001, state = 3, next_state = 4, count = 3 , B0,B-1 = 11, out_ready = 0
                 970   4 *  3 =   24 _______ A:0100, XB:11110000, state = 4, next_state = 1, count = 2 , B0,B-1 = 01, out_ready = 0
                 974   4 *  3 =   24 _______ A:0100, XB:11110000, state = 1, next_state = 3, count = 2 , B0,B-1 = 01, out_ready = 0
                 978   4 *  3 =   24 _______ A:0100, XB:00110000, state = 3, next_state = 4, count = 2 , B0,B-1 = 01, out_ready = 0
                 982   4 *  3 =   24 _______ A:0100, XB:00011000, state = 4, next_state = 3, count = 1 , B0,B-1 = 00, out_ready = 0
                 986   4 *  3 =   24 _______ A:0100, XB:00011000, state = 3, next_state = 4, count = 1 , B0,B-1 = 00, out_ready = 0
                 990   4 *  3 =   12 _______ A:0100, XB:00001100, state = 4, next_state = 3, count = 0 , B0,B-1 = 00, out_ready = 1
                 994   4 *  3 =   12 _______ A:0100, XB:00001100, state = 3, next_state = 0, count = 0 , B0,B-1 = 00, out_ready = 1
